,lyric,clean_lyric
1173,This is the last time I'm asking you why,
1174,You break my heart in the blink of an eye,break heart blink eye
1175,This is the last time I'm asking you this,
1176,(This is the last time I'm asking you this),
1177,Put my name at the top of your list,list
1178,(Put my name at the top of your list),list
1179,This is the last time I'm asking you why,
1180,(This is the last time I'm asking you why),
1181,You break my heart in the blink of an eye,break heart blink eye
1182,(You break my heart),break heart
1183,"This is the last time I'm asking you, last time I'm asking you",
1184,Last time I'm asking you this,
1185,"This is the last time I'm asking you, last time I'm asking you",
1186,Last time I'm asking you this,
1187,"This is the last time I'm asking you, last time I'm asking you",
1188,Last time I'm asking you this,
1189,"This is the last time I'm asking you, last time I'm asking you",
1190,Last time I'm asking you this,
1191,I was reminiscing just the other day,reminiscing day
1192,"While having coffee all alone, and Lord, it took me away",coffee lord
1193,Back to a first-glance feeling on New York time,firstglance feeling york
1194,Back when you fit in my poems like a perfect rhyme,fit poems perfect rhyme
1195,"Took off faster than a green light, go",faster green
1196,"Hey, you skip the conversation when you already know",skip conversation
1197,I left a note on the door with a joke we'd made,left door joke
1198,And that was the first day,day
1199,"And darling, it was good",darling good
1200,Never looking down,
1201,And right there where we stood,stood
1202,Was holy ground,holy ground
1203,Spinning like a girl in a brand new dress,spinning girl brand dress
1204,We had this big wide city all to ourselves,big city
1205,"We blocked the noise with the sound of, ""I need you""",blocked noise sound
1206,"And for the first time, I had something to lose",lose
1207,And I guess we fell apart in the usual way,guess fell
1208,And the story's got dust on every page,storys dust
1209,"But sometimes, I wonder how you think about it now",
1210,And I see your face in every crowd,face crowd
1211,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1212,"'Cause darling, it was good",darling good
1213,Never looking down,
1214,And right there where we stood,stood
1215,Was holy ground,holy ground
1216,"Tonight, I'm gonna dance",tonight
1217,For all that we've been through,
1218,But I don't wanna dance,
1219,If I'm not dancing with you,dancing
1220,"Tonight, I'm gonna dance",tonight
1221,Like you were in this room,room
1222,But I don't wanna dance,
1223,If I'm not dancing with you,dancing
1224,It was good,good
1225,Never looking down,
1226,And right there where we stood,stood
1227,Was holy ground,holy ground
1228,"Tonight, I'm gonna dance",tonight
1229,For all that we've been through,
1230,But I don't wanna dance,
1231,If I'm not dancing with you,dancing
1232,"Tonight, I'm gonna dance",tonight
1233,Like you were in this room,room
1234,But I don't wanna dance,
1235,If I'm not dancing with you,dancing
1236,"Long handwritten note, deep in your pocket",handwritten deep pocket
1237,"Words, how little they mean, when you're a little too late",
1238,"I stood right by the tracks, your face in a locket",stood tracks face locket
1239,"Good girls, hopeful they'll be and long they will wait",good girls wait
1240,We had a beautiful magic love affair,beautiful magic love affair
1241,"What a sad, beautiful, tragic love affair",sad beautiful tragic love affair
1242,"In dreams, I meet you in warm conversation",dreams meet warm conversation
1243,"We both wake in lonely beds, different cities",wake lonely beds cities
1244,And time is taking its sweet time erasing you,sweet erasing
1245,And you've got your demons,demons
1246,"And darling, they all look like me",darling
1247,'Cause we had a beautiful magic love there,beautiful magic love
1248,"What a sad, beautiful, tragic love affair",sad beautiful tragic love affair
1249,"Distance, timing, breakdown, fighting",distance timing breakdown fighting
1250,"Silence, the train runs off its tracks",silence train runs tracks
1251,"Kiss me, try to fix it, could you just try to listen?",kiss listen
1252,"Hang up, give up, and for the life of us we can't get back",life
1253,A beautiful magic love there,beautiful magic love
1254,"What a sad, beautiful, tragic, beautiful, tragic, beautiful",sad beautiful tragic beautiful tragic beautiful
1255,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1256,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1257,Nardo Wick 'Who Want Smoke??' (Live Performance) | Open Mic,nardo wick smoke live performance open mic
1258,Kiana Ledé 'Ur Best Friend' Official Lyrics & Meaning | Verified,kiana ledé friend official lyrics meaning verified
1259,"What we had, a beautiful magic love there",beautiful magic love
1260,"What a sad, beautiful, tragic, love affair",sad beautiful tragic love affair
1261,We had a beautiful magic love there,beautiful magic love
1262,"What a sad, beautiful, tragic love affair",sad beautiful tragic love affair
1263,New to town with a made up name,town
1264,"In the angel's city, chasing fortune and fame",angels city chasing fortune fame
1265,And the camera flashes make it look like a dream,camera flashes dream
1266,You had it figured out since you were in school,figured school
1267,"Everybody loves pretty, everybody loves cool",loves pretty loves cool
1268,"So overnight, you look like a sixties queen",overnight sixties queen
1269,Another name goes up in lights,lights
1270,Like diamonds in the sky,diamonds sky
1271,"And they’ll tell you now, you’re the lucky one",theyll lucky
1272,"Yeah, they’ll tell you now, you’re the lucky one",theyll lucky
1273,"But can you tell me now, you’re the lucky one?",lucky
1274,"Oh, oh, oh",
1275,"Now, it’s big black cars and Riviera views",big black cars riviera views
1276,And your lover in the foyer doesn’t even know you,lover foyer doesnt
1277,And your secrets end up splashed on the news front page,secrets splashed news front
1278,"And they tell you that you’re lucky, but you’re so confused",lucky confused
1279,"'Cause you don’t feel pretty, you just feel used",dont feel pretty feel
1280,And all the young things line up to take your place,young things
1281,Another name goes up in lights,lights
1282,You wonder if you’ll make it out alive,youll alive
1283,"And they’ll tell you now, you’re the lucky one",theyll lucky
1284,"Yeah, they’ll tell you now, you’re the lucky one",theyll lucky
1285,"But can you tell me now, you’re the lucky one?",lucky
1286,"Oh, oh, oh",
1287,"It was a few years later, I showed up here",years
1288,And they still tell the legend of how you disappeared,legend disappeared
1289,"How you took the money and your dignity, and got the hell out",money dignity
1290,They say you bought a bunch of land somewhere,bought bunch land
1291,Chose the rose garden over Madison Square,chose rose garden madison square
1292,"And it took some time, but I understand it now",understand
1293,‘Cause now my name is up in lights,lights
1294,But I think you got it right,
1295,"Let me tell you now, you’re the lucky one",lucky
1296,"Let me tell you now, you’re the lucky one",lucky
1297,"Let me tell you now, you’re the lucky one, oh, oh, oh",lucky
1298,"And they’ll tell you now, you’re the lucky one",theyll lucky
1299,"Yeah, they’ll tell you now, you’re the lucky one",theyll lucky
1300,"And they’ll tell you now, you’re the lucky one, oh, oh, oh",theyll lucky
1301,"Oh, whoa, oh, oh",
1302,All I knew this morning when I woke,knew morning woke
1303,Is I know something now,
1304,Know something now I didn't before,
1305,And all I've seen since 18 hours ago,18 hours ago
1306,Is green eyes and freckles and your smile,green eyes freckles smile
1307,"In the back of my mind, making me feel like",mind making feel
1308,I just wanna know you better,
1309,"Know you better, know you better now",
1310,I just wanna know you better,
1311,"Know you better, know you better now",
1312,I just wanna know you better,
1313,"Know you better, know you better now",
1314,"I just wanna know you, know you, know you",
1315,"'Cause all I know is we said, ""Hello""",
1316,And your eyes look like coming home,eyes
1317,All I know is a simple name,simple
1318,Everything has changed,changed
1319,All I know is you held the door,held door
1320,You'll be mine and I'll be yours,mine
1321,All I know since yesterday,yesterday
1322,Is everything has changed,changed
1323,"And all my walls stood tall, painted blue",walls stood tall painted blue
1324,"And I'll take 'em down, take 'em down",
1325,And open up the door for you,open door
1326,And all I feel in my stomach is butterflies,feel stomach butterflies
1327,"The beautiful kind, making up for lost time",beautiful kind making lost
1328,"Taking flight, making me feel right",flight making feel
1329,I just wanna know you better,
1330,"Know you better, know you better now",
1331,I just wanna know you better,
1332,"Know you better, know you better now",
1333,I just wanna know you better,
1334,"Know you better, know you better now",
1335,"I just wanna know you, know you, know you",
1336,"'Cause all I know is we said, ""Hello""",
1337,And your eyes look like coming home,eyes
1338,All I know is a simple name,simple
1339,Everything has changed,changed
1340,All I know is you held the door,held door
1341,You'll be mine and I'll be yours,mine
1342,All I know since yesterday,yesterday
1343,Is everything has changed,changed
1344,Come back and tell me why,
1345,I'm feeling like I've missed you all this time,feeling missed
1346,And meet me there tonight,meet tonight
1347,And let me know that it's not all in my mind,mind
1348,I just wanna know you better,
1349,"Know you better, know you better now",
1350,"I just wanna know you, know you, know you",
1351,"'Cause all I know is we said, ""Hello""",
1352,And your eyes look like coming home,eyes
1353,All I know is a simple name,simple
1354,Everything has changed,changed
1355,All I know is you held the door,held door
1356,You'll be mine and I'll be yours,mine
1357,All I know since yesterday,yesterday
1358,Is everything has changed,changed
1359,"All I know is we said, ""Hello""",
1360,So dust off your highest hopes,dust highest hopes
1361,All I know is pouring rain,pouring rain
1362,And everything has changed,changed
1363,All I know is a new found grace,grace
1364,"All my days, I'll know your face",days face
1365,All I know since yesterday,yesterday
1366,Is everything has changed,changed
1367,"I said, ""Oh, my, what a marvelous tune""",marvelous tune
1368,"It was the best night, never would forget how we moved",night forget moved
1369,The whole place was dressed to the nines,dressed nines
1370,"And we were dancing, dancing",dancing dancing
1371,Like we're made of starlight,starlight
1372,Like we're made of starlight,starlight
1373,"I met Bobby on the boardwalk, summer of '45",bobby boardwalk summer 45
1374,"Picked me up, late one night at the window",picked night window
1375,"We were 17 and crazy, running wild, wild",17 crazy running wild wild
1376,Can't remember what song it was playing when we walked in,remember song playing walked
1377,The night we snuck into a yacht club party,night snuck yacht club party
1378,Pretending to be a duchess and a prince,pretending duchess prince
1379,"And I said, ""Oh, my, what a marvelous tune""",marvelous tune
1380,"It was the best night, never would forget how we moved",night forget moved
1381,The whole place was dressed to the nines,dressed nines
1382,"And we were dancing, dancing",dancing dancing
1383,"Like we're made of starlight, starlight",starlight starlight
1384,"Like we're made of starlight, starlight",starlight starlight
1385,"He said, ""Look at you",
1386,Worrying so much about things you can't change,worrying things
1387,You'll spend your whole life singing the blues,spend life singing blues
1388,"If you keep thinking that way""",thinking
1389,"He was trying to skip rocks on the ocean, saying to me",skip rocks ocean
1390,"""Don't you see the starlight, starlight?",dont starlight starlight
1391,"Don't you dream impossible things?""",dream impossible things
1392,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1393,"Like, ""Oh, my, what a marvelous tune""",marvelous tune
1394,"It was the best night, never would forget how we moved",night forget moved
1395,The whole place was dressed to the nines,dressed nines
1396,"And we were dancing, dancing",dancing dancing
1397,"Like we're made of starlight, starlight",starlight starlight
1398,"Like we're made of starlight, starlight",starlight starlight
1399,"Ooh, ooh, he's talking crazy",talking crazy
1400,"Ooh, ooh, dancing with me",dancing
1401,"Ooh, ooh, we could get married",married
1402,Have ten kids and teach 'em how to dream,kids teach dream
1403,"Oh, my, what a marvelous tune",marvelous tune
1404,"It was the best night, never would forget how we moved",night forget moved
1405,The whole place was dressed to the nines,dressed nines
1406,"And we were dancing, dancing",dancing dancing
1407,"Like we're made of starlight, starlight",starlight starlight
1408,"Like we're made of starlight, starlight",starlight starlight
1409,"Like we're made of starlight, starlight",starlight starlight
1410,Like we dream impossible dreams,dream impossible dreams
1411,"Like starlight, starlight",starlight starlight
1412,Like we dream impossible dreams,dream impossible dreams
1413,"Don't you see the starlight, starlight?",starlight starlight
1414,Don't you dream impossible things?,dream impossible things
1415,Took a deep breath in the mirror,deep breath mirror
1416,"He didn't like it when I wore high heels, but I do",wore high heels
1417,Turn the lock and put my headphones on,turn lock headphones
1418,"He always said he didn't get this song but I do, I do",song
1419,"Walked in, expecting you'd be late",walked expecting
1420,But you got here early and you stand and wave,stand wave
1421,I walk to you,walk
1422,You pull my chair out and help me in,pull chair
1423,"And you don't know how nice that is, but I do",nice
1424,And you throw your head back laughing like a little kid,throw head laughing kid
1425,I think it's strange that you think I'm funny 'cause he never did,strange funny
1426,I've been spending the last eight months,spending months
1427,Thinking all love ever does is break and burn and end,thinking love break burn
1428,"But on a Wednesday in a café, I watched it begin again",wednesday café watched
1429,You said you never met one girl who,girl
1430,"Had as many James Taylor records as you, but I do",james taylor records
1431,We tell stories and you don't know why,stories
1432,"I'm coming off a little shy, but I do",shy
1433,But you throw your head back laughing like a little kid,throw head laughing kid
1434,I think it's strange that you think I'm funny 'cause he never did,strange funny
1435,I've been spending the last eight months,spending months
1436,Thinking all love ever does is break and burn and end,thinking love break burn
1437,"But on a Wednesday in a café, I watched it begin again",wednesday café watched
1438,And we walked down the block to my car,walked block car
1439,And I almost brought him up,brought
1440,But you start to talk about the movies,start talk movies
1441,That your family watches every single Christmas,family watches single christmas
1442,And I want to talk about that,talk
1443,"And for the first time, what's past is past",
1444,'Cause you throw your head back laughing like a little kid,throw head laughing kid
1445,I think it's strange that you think I'm funny 'cause he never did,strange funny
1446,I've been spending the last eight months,spending months
1447,Thinking all love ever does is break and burn and end,thinking love break burn
1448,"But on a Wednesday in a café, I watched it begin again",wednesday café watched
1449,"But on a Wednesday in a café, I watched it begin again",wednesday café watched
1450,You said it in a simple way,simple
1451,"4 AM, the second day",4 day
1452,How strange that I don't know you at all,strange
1453,Stumbled through the long goodbye,stumbled goodbye
1454,"One last kiss, then catch your flight",kiss catch flight
1455,Right when I was just about to fall,fall
1456,"I told myself, don't get attached",told attached
1457,"But in my mind, I play it back",mind play
1458,Spinning faster than the plane that took you,spinning faster plane
1459,And this is when the feeling sinks in,feeling sinks
1460,I don't wanna miss you like this,
1461,"Come back, be here, come back, be here",
1462,I guess you're in New York today,guess york today
1463,I don't wanna need you this way,
1464,"Come back, be here, come back, be here",
1465,The delicate beginning rush,delicate rush
1466,The feeling you can know so much,feeling
1467,Without knowing anything at all,knowing
1468,And now that I can put this down,
1469,If I had known what I know now,
1470,I never would've played so nonchalant,wouldve played nonchalant
1471,Taxi cabs and busy streets,taxi cabs busy streets
1472,That never bring you back to me,bring
1473,I can't help but wish you took me with you,
1474,And this is when the feeling sinks in,feeling sinks
1475,I don't wanna miss you like this,
1476,"Come back, be here, come back, be here",
1477,I guess you're in London today,guess london today
1478,And I don't wanna need you this way,
1479,"Come back, be here, come back, be here",
1480,This is falling in love in the cruelest way,falling love cruelest
1481,This is falling for you when you are worlds away,falling worlds
1482,"In New York, be here",york
1483,"But you're in London, and I break down",london break
1484,'Cause it's not fair that you're not around,fair
1485,This is when the feeling sinks in,feeling sinks
1486,I don't wanna miss you like this,
1487,"Come back, be here, come back, be here",
1488,I guess you're in New York today,guess york today
1489,And I don't wanna need you this way,
1490,"Come back, be here, come back, be here",
1491,"Oh-oh, oh-oh",
1492,I don't wanna miss you like this,
1493,"Oh-oh, oh-oh",
1494,"Come back, be here",
1495,"Come back, be here",
1496,"Don't look at me, you got a girl at home",girl
1497,"And everybody knows that, everybody knows that, ah-ah",ahah
1498,"Don't look at me, you got a girl at home",girl
1499,And everybody knows that,
1500,I don't even know her,
1501,But I feel a responsibility to do what's upstanding and right,feel responsibility upstanding
1502,"It's kinda like a code, yeah",kinda code
1503,And you've been getting closer and closer,closer closer
1504,And crossing so many lines,crossing lines
1505,And it would be a fine proposition,fine proposition
1506,If I was a stupid girl,stupid girl
1507,"But, honey, I am no one's exception",honey exception
1508,"This, I have previously learned",learned
1509,"So don't look at me, you got a girl at home",girl
1510,"And everybody knows that, everybody knows that, ah-ah",ahah
1511,"Don't look at me, you got a girl at home",girl
1512,"And everybody knows that, everybody knows that",
1513,I see you turn off your phone,turn phone
1514,"And now you've got me alone, and I say",
1515,"Don't look at me, you got a girl at home",girl
1516,"And everybody knows that, everybody knows that",
1517,I just want to make sure,
1518,You understand perfectly,understand perfectly
1519,You're the kind of man who makes me sad,kind sad
1520,"While she waits up, you chase down the newest thing",waits chase newest
1521,And take for granted what you have,granted
1522,And it would be a fine proposition,fine proposition
1523,If I was a stupid girl,stupid girl
1524,"And, yeah, I might go with it",
1525,If I hadn't once been just like her,
1526,"So don't look at me, you got a girl at home",girl
1527,"And everybody knows that, everybody knows that, ah-ah",ahah
1528,"Don't look at me, you got a girl at home",girl
1529,"And everybody knows that, everybody knows that",
1530,I see you turn off your phone,turn phone
1531,"And now you've got me alone, and I say",
1532,"Don't look at me, you got a girl at home",girl
1533,"And everybody knows that, everybody knows that",
1534,"Oh-oh-oh, oh-oh-oh",ohohoh ohohoh
1535,"Oh-oh-oh, oh-oh-oh",ohohoh ohohoh
1536,"Call a cab, lose my number",cab lose number
1537,You're about to lose your girl,lose girl
1538,"Call a cab, lose my number",cab lose number
1539,Let's consider this lesson learned,lesson learned
1540,"Don't look at me, you got a girl at home",girl
1541,"And everybody knows that, everybody knows that, ah-ah",ahah
1542,"Don't look at me, you got a girl at home",girl
1543,"And everybody knows that, everybody knows that",
1544,Want to see you pick up your phone,pick phone
1545,And tell her you're coming home,
1546,"Don't look at me, you got a girl at home",girl
1547,"And everybody knows that, everybody knows that",
1548,"Don't look at me, you got a girl at home",girl
1549,"And everybody knows that, everybody knows that",
1550,It would be a fine proposition,fine proposition
1551,If I hadn't once been just like her,
1552,Put your lips close to mine,lips close mine
1553,As long as they don’t touch,dont touch
1554,"Out of focus, eye to eye",focus eye eye
1555,Till the gravity’s too much,gravitys
1556,And I’ll do anything you say,
1557,If you say it with your hands,hands
1558,And I’d be smart to walk away,smart walk
1559,But you’re quicksand,quicksand
1560,This slope is treacherous,slope treacherous
1561,This path is reckless,path reckless
1562,This slope is treacherous,slope treacherous
1563,"And I, I, I, like it",
1564,I can’t decide if it’s a choice,decide choice
1565,Getting swept away,swept
1566,I hear the sound of my own voice,hear sound voice
1567,Asking you to stay,stay
1568,And all we are is skin and bone,bone
1569,Trained to get along,trained
1570,Forever going with the flow,forever flow
1571,But you’re friction,friction
1572,This slope is treacherous,slope treacherous
1573,This path is reckless,path reckless
1574,This slope is treacherous,slope treacherous
1575,"I, I, I, like it",
1576,Two headlights shine through the sleepless night,headlights shine sleepless night
1577,"And I will get you, get you alone",
1578,Your name has echoed through my mind,echoed mind
1579,And I just think you should,
1580,Think you should know,
1581,That nothing safe is worth the drive,safe worth drive
1582,"And I would follow you, follow you home",
1583,"I’ll follow you, follow you home",
1584,This hope is treacherous,treacherous
1585,This daydream is dangerous,daydream dangerous
1586,This hope is treacherous,treacherous
1587,"I, I, I",
1588,"I, I, I",
1589,"I, I, I",
1590,Two headlights shine through the sleepless night,headlights shine sleepless night
1591,"And I will get you, get you alone",
1592,Your name has echoed through my mind,echoed mind
1593,And I just think you should,
1594,Think you should know,
1595,That nothing safe is worth the drive,safe worth drive
1596,"And I would follow you, follow you home",
1597,"I’ll follow you, follow you home",
1598,"I’ll follow you, follow you home",
1599,"I’ll follow you, follow you home",
1600,"I’ll follow you, follow you home",
1601,This slope is treacherous,slope treacherous
1602,"I, I, I, like it",
1603,Loving him is like,loving
1604,Driving a new Maserati down a dead end street,driving maserati dead street
1605,"Faster than the wind, passionate as sin, ending so suddenly",faster wind passionate suddenly
1606,Loving him is like,loving
1607,Trying to change your mind once you're already flying through the freefall,mind flying freefall
1608,Like the colors in autumn,colors autumn
1609,"So bright, just before they lose it all",bright lose
1610,Losing him was blue like I'd never known,losing blue
1611,"Missing him was dark grey, all alone",missing dark grey
1612,Forgetting him was like trying to know somebody you've never met,forgetting
1613,But loving him was red,loving
1614,Loving him was red,loving
1615,Touching him was like,touching
1616,Realizing all you ever wanted was right there in front of you,realizing wanted front
1617,Memorizing him was as,memorizing
1618,Easy as knowing all the words to your old favorite song,easy knowing favorite song
1619,Fighting with him was like,fighting
1620,Trying to solve a crossword and realizing there's no right answer,solve crossword realizing answer
1621,Regretting him was like,regretting
1622,Wishing you never found out that love could be that strong,wishing love
1623,Losing him was blue like I'd never known,losing blue
1624,"Missing him was dark grey, all alone",missing dark grey
1625,Forgetting him was like trying to know somebody you've never met,forgetting
1626,But loving him was red,loving
1627,"Oh, red",
1628,Burning red,burning
1629,Remembering him comes in flashbacks and echoes,remembering flashbacks echoes
1630,"Tell myself it's time now, gotta let go",gotta
1631,But moving on from him is impossible,moving impossible
1632,When I still see it all in my head,head
1633,In burning red,burning
1634,"Burning, it was red",burning
1635,Losing him was blue like I'd never known,losing blue
1636,"Missing him was dark grey, all alone",missing dark grey
1637,Forgetting him was like trying to know somebody you never met,forgetting
1638,'Cause loving him was red,loving
1639,"Yeah, yeah, red",
1640,We're burning red,burning
1641,And that's why he's spinning 'round in my head,spinning head
1642,"Burning red, burning red",burning burning
1643,His love was like,love
1644,Driving a new Maserati down a dead end street,driving maserati dead street
1645,I'm walking fast through the traffic lights,walking fast traffic lights
1646,Busy streets and busy lives,busy streets busy lives
1647,And all we know is touch and go,touch
1648,We are alone with our changing minds,changing minds
1649,"We fall in love till it hurts or bleeds, or fades in time",fall love hurts bleeds fades
1650,And I never saw you coming,
1651,And I’ll never be the same,
1652,You come around and the armor falls,armor falls
1653,Pierce the room like a cannon ball,pierce room cannon ball
1654,"Now all we know, is don’t let go",dont
1655,We are alone just you and me,
1656,Up in your room and our slates are clean,room slates clean
1657,"Just twin fire signs, four blue eyes",twin fire signs blue eyes
1658,So you were never a saint,saint
1659,And I've loved in shades of wrong,loved shades wrong
1660,We learn to live with the pain,learn live pain
1661,Mosaic broken hearts,mosaic broken hearts
1662,But this love is brave and wild,love brave wild
1663,And I never saw you coming,
1664,And I’ll never be the same,
1665,This is a state of grace,state grace
1666,This is the worthwhile fight,worthwhile fight
1667,Love is a ruthless game,love ruthless game
1668,Unless you play it good and right,play good
1669,These are the hands of fate,hands fate
1670,You’re my Achilles heel,achilles heel
1671,This is the golden age of something good,golden good
1672,And right and real,
1673,And I never saw you coming,
1674,And I’ll never be the same,
1675,And I never saw you coming,
1676,And I’ll never be the same,
1677,This is a state of grace,state grace
1678,This is a worthwhile fight,worthwhile fight
1679,Love is a ruthless game,love ruthless game
1680,Unless you play it good and right,play good
1681,"Walking through a crowd, the village is aglow",walking crowd village aglow
1682,Kaleidoscope of loud heartbeats under coats,kaleidoscope loud heartbeats coats
1683,Everybody here wanted something more,wanted
1684,Searching for a sound we hadn't heard before,searching sound heard
1685,And it said,
1686,"Welcome to New York, it's been waiting for you",york waiting
1687,"Welcome to New York, welcome to New York",york york
1688,"Welcome to New York, it's been waiting for you",york waiting
1689,"Welcome to New York, welcome to New York",york york
1690,"It's a new soundtrack, I could dance to this beat, beat, forevermore",soundtrack beat beat forevermore
1691,"The lights are so bright but they never blind me, me",lights bright blind
1692,"Welcome to New York, it's been waiting for you",york waiting
1693,"Welcome to New York, welcome to New York",york york
1694,When we first dropped our bags on apartment floors,dropped bags apartment floors
1695,"Took our broken hearts, put them in a drawer",broken hearts drawer
1696,Everybody here was someone else before,
1697,And you can want who you want,
1698,Boys and boys and girls and girls,boys boys girls girls
1699,"Welcome to New York, it's been waiting for you",york waiting
1700,"Welcome to New York, welcome to New York",york york
1701,"Welcome to New York, it's been waiting for you",york waiting
1702,"Welcome to New York, welcome to New York",york york
1703,"It's a new soundtrack, I could dance to this beat, beat, forevermore",soundtrack beat beat forevermore
1704,"The lights are so bright, but they never blind me, me",lights bright blind
1705,"Welcome to New York (New York), it's been waiting for you",york york waiting
1706,"Welcome to New York, welcome to New York",york york
1707,"Like any great love, it keeps you guessing",great love guessing
1708,"Like any real love, it's ever-changing",love everchanging
1709,"Like any true love, it drives you crazy",true love drives crazy
1710,"But you know you wouldn't change anything, anything, anything",
1711,"Welcome to New York, it's been waiting for you",york waiting
1712,"Welcome to New York, welcome to New York",york york
1713,"Welcome to New York, it's been waiting for you",york waiting
1714,"Welcome to New York, welcome to New York",york york
1715,"It's a new soundtrack, I could dance to this beat",soundtrack beat
1716,"The lights are so bright, but they never blind me",lights bright blind
1717,Welcome to New York (New soundtrack),york soundtrack
1718,It's been waiting for you,waiting
1719,Welcome to New York,york
1720,The lights are so bright but they never blind me,lights bright blind
1721,Welcome to New York,york
1722,"So bright, they never blind me",bright blind
1723,Welcome to New York,york
1724,Welcome to New York,york
1725,Looking at it now,
1726,It all seems so simple,simple
1727,We were lying on your couch,lying couch
1728,I remember,remember
1729,You took a Polaroid of us,polaroid
1730,Then discovered (Then discovered),discovered discovered
1731,The rest of the world was black and white,rest black white
1732,But we were in screaming color,screaming color
1733,And I remember thinking,remember thinking
1734,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1735,Are we out of the woods yet? Are we out of the woods?,woods woods
1736,Are we in the clear yet? Are we in the clear yet?,
1737,"Are we in the clear yet, in the clear yet? Good",good
1738,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1739,Are we out of the woods yet? Are we out of the woods?,woods woods
1740,Are we in the clear yet? Are we in the clear yet?,
1741,"Are we in the clear yet, in the clear yet? Good",good
1742,(Are we out of the woods?),woods
1743,Looking at it now,
1744,Last December (Last December),december december
1745,We were built to fall apart,built fall
1746,Then fall back together (Back together),fall
1747,"Ooh, your necklace hanging from my neck",necklace hanging neck
1748,The night we couldn't quite forget,night forget
1749,"When we decided, we decided",decided decided
1750,To move the furniture so we could dance,move furniture
1751,"Baby, like we stood a chance",baby stood chance
1752,"Two paper airplanes flying, flying, flying",paper airplanes flying flying flying
1753,And I remember thinking,remember thinking
1754,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
1755,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1756,Are we out of the woods yet? Are we out of the woods?,woods woods
1757,Are we in the clear yet? Are we in the clear yet?,
1758,"Are we in the clear yet, in the clear yet? Good",good
1759,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1760,Are we out of the woods yet? (Oh) Are we out of the woods?,woods woods
1761,Are we in the clear yet? Are we in the clear yet?,
1762,"Are we in the clear yet, in the clear yet? Good",good
1763,(Are we out of the woods?),woods
1764,Remember when you hit the brakes too soon?,remember brakes
1765,Twenty stitches in a hospital room,twenty stitches hospital room
1766,"When you started crying, baby, I did too",started crying baby
1767,"But when the sun came up, I was looking at you",sun
1768,Remember when we couldn't take the heat?,remember heat
1769,"I walked out, I said, ""I'm setting you free""",walked setting free
1770,But the monsters turned out to be just trees,monsters turned trees
1771,"When the sun came up, you were looking at me",sun
1772,"You were looking at me, ooh",
1773,You were looking at me,
1774,(Are we out of the woods yet? Are we out of the woods yet?),woods woods
1775,(Are we out of the woods yet? Are we out of the woods?),woods woods
1776,I remember,remember
1777,(Are we in the clear yet? Are we in the clear yet?),
1778,"(Are we in the clear yet, in the clear yet? Good)",good
1779,"Oh, I remember",remember
1780,Are we out of the woods yet? Are we out of the woods yet? (Yeah),woods woods
1781,Are we out of the woods yet? Are we out of the woods?,woods woods
1782,Are we in the clear yet? Are we in the clear yet? (Are we?),
1783,"Are we in the clear yet, in the clear yet? Good",good
1784,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1785,Are we out of the woods yet? Are we out of the woods?,woods woods
1786,Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah),
1787,"Are we in the clear yet, in the clear yet? Good",good
1788,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1789,Are we out of the woods yet? Are we out of the woods?,woods woods
1790,Are we in the clear yet? Are we in the clear yet?,
1791,"Are we in the clear yet, in the clear yet? Good",good
1792,Are we out of the woods yet? Are we out of the woods yet?,woods woods
1793,Are we out of the woods yet? Are we out of the woods?,woods woods
1794,Are we in the clear yet? Are we in the clear yet?,
1795,"Are we in the clear yet, in the clear yet? Good",good
1796,"(Hey, hey, hey)",
1797,"(Hey, hey, hey)",
1798,"(Hey, hey, hey)",
1799,"(Hey, hey, hey)",
1800,People like you always want back,people
1801,The love they gave away,love
1802,And people like me wanna believe you,people
1803,When you say you've changed,changed
1804,The more I think about it now,
1805,The less I know,
1806,All I know is that you drove us,drove
1807,Off the road,road
1808,"(Stay) Hey, all you had to do was stay",stay stay
1809,"Had me in the palm of your hand, then",palm
1810,Why'd you have to go and lock me out when I let you in?,whyd lock
1811,"(Stay) Hey, now you say you want it back",stay
1812,Now that it's just too late,
1813,"Well, could've been easy",couldve easy
1814,All you had to do was (Stay),stay
1815,All you had to do was (Stay),stay
1816,All you had to do was (Stay),stay
1817,All you had to do was (Stay),stay
1818,All you had to do was stay,stay
1819,"Here you are now, calling me up",calling
1820,But I don't know what to say,
1821,I've been picking up the pieces,picking pieces
1822,Of the mess you made,mess
1823,People like you always want back,people
